"chart","year","rank","title","artist","image"
"radio-songs","2019","3","Sucker","Jonas Brothers","https://charts-static.billboard.com/img/2019/03/jonas-brothers-hnh-sucker-1yg-53x53.jpg"
"radio-songs","2019","4","Talk","Khalid","https://charts-static.billboard.com/img/2019/02/khalid-p0u-talk-1dz-53x53.jpg"
"radio-songs","2019","5","Dancing With A Stranger","Sam Smith & Normani","https://charts-static.billboard.com/img/2019/01/sam-smith-9q2-dancing-with-a-stranger-6cj-53x53.jpg"
"radio-songs","2019","6","Happier","Marshmello & Bastille","https://charts-static.billboard.com/img/2018/08/marshmello-9ph-happier-p74-53x53.jpg"
"radio-songs","2019","7","I Don't Care","Ed Sheeran & Justin Bieber","https://charts-static.billboard.com/img/2019/05/ed-sheeran-buv-i-dont-care-w7v-53x53.jpg"
"radio-songs","2019","8","Eastside","benny blanco, Halsey & Khalid","https://charts-static.billboard.com/img/2018/07/benny-blanco-000-eastside-70k-53x53.jpg"
"radio-songs","2019","9","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee","https://charts-static.billboard.com/img/2018/10/post-malone-tp6-sunflower-spiderman-into-the-spiderverse-knj-53x53.jpg"
"radio-songs","2019","10","Wow.","Post Malone","https://charts-static.billboard.com/img/2019/01/post-malone-tp6-wow-wzo-53x53.jpg"
"radio-songs","2019","11","Truth Hurts","Lizzo","https://charts-static.billboard.com/img/2019/05/lizzo-w3u-truth-hurts-tmm-53x53.jpg"
"radio-songs","2019","12","Girls Like You","Maroon 5 Featuring Cardi B","https://charts-static.billboard.com/img/2018/06/maroon-5-9st-girls-like-you-32b-53x53.jpg"
"radio-songs","2019","13","Senorita","Shawn Mendes & Camila Cabello","https://charts-static.billboard.com/img/2019/06/shawn-mendes-drf-senorita-qa7-53x53.jpg"
"radio-songs","2019","14","Bad Guy","Billie Eilish","https://charts-static.billboard.com/img/2019/04/billie-eilish-acb-bad-guy-7mt-53x53.jpg"
"radio-songs","2019","15","If I Can't Have You","Shawn Mendes","https://charts-static.billboard.com/img/2019/05/shawn-mendes-drf-if-i-cant-have-you-2w4-53x53.jpg"
"radio-songs","2019","16","7 Rings","Ariana Grande","https://charts-static.billboard.com/img/2019/01/ariana-grande-ypy-7-rings-8ag-53x53.jpg"
"radio-songs","2019","17","Thank U, Next","Ariana Grande","https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-53x53.jpg"
"radio-songs","2019","18","Sweet But Psycho","Ava Max","https://charts-static.billboard.com/img/2018/11/ava-max-k5u-sweet-but-psycho-suq-53x53.jpg"
"radio-songs","2019","19","Youngblood","5 Seconds Of Summer","https://charts-static.billboard.com/img/2018/04/5-seconds-of-summer-deq-53x53.jpg"
"radio-songs","2019","20","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus","https://charts-static.billboard.com/img/2019/03/lil-nas-x-zl6-old-town-road-4gg-53x53.jpg"
"radio-songs","2019","21","Someone You Loved","Lewis Capaldi","https://charts-static.billboard.com/img/2019/03/lewis-capaldi-s2h-someone-you-loved-em0-53x53.jpg"
"radio-songs","2019","22","Shallow","Lady Gaga & Bradley Cooper","https://charts-static.billboard.com/img/2018/10/lady-gaga-gyl-53x53.jpg"
"radio-songs","2019","23","Sicko Mode","Travis Scott","https://charts-static.billboard.com/img/2018/08/travis-scott-jll-53x53.jpg"
"radio-songs","2019","24","Speechless","Dan + Shay","https://charts-static.billboard.com/img/2018/06/dan-shay-aqf-speechless-mhy-53x53.jpg"
"radio-songs","2019","25","Better","Khalid","https://charts-static.billboard.com/img/2018/09/khalid-p0u-53x53.jpg"
"radio-songs","2019","26","Close To Me","Ellie Goulding X Diplo Featuring Swae Lee","https://charts-static.billboard.com/img/2018/11/ellie-goulding-xqm-close-to-me-zml-53x53.jpg"
"radio-songs","2019","27","Better Now","Post Malone","https://charts-static.billboard.com/img/2015/06/post-malone-1vw-53x53.jpg"
"radio-songs","2019","28","Hey Look Ma, I Made It","Panic! At The Disco","https://charts-static.billboard.com/img/2018/07/panic-at-the-disco-yl6-53x53.jpg"
"radio-songs","2019","29","No Guidance","Chris Brown Featuring Drake","https://charts-static.billboard.com/img/2019/06/chris-brown-abf-no-guidance-yi0-53x53.jpg"
"radio-songs","2019","30","Breathin","Ariana Grande","https://charts-static.billboard.com/img/2018/09/ariana-grande-ypy-53x53.jpg"
"radio-songs","2019","31","MIA","Bad Bunny Featuring Drake","https://charts-static.billboard.com/img/2018/10/bad-bunny-qln-mia-n47-53x53.jpg"
"radio-songs","2019","32","Going Bad","Meek Mill Featuring Drake","https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-53x53.jpg"
"radio-songs","2019","33","Goodbyes","Post Malone Featuring Young Thug","https://charts-static.billboard.com/img/2019/07/post-malone-1vw-goodbyes-b73-53x53.jpg"
"radio-songs","2019","34","Break Up With Your Girlfriend, I'm Bored","Ariana Grande","https://charts-static.billboard.com/img/2019/02/ariana-grande-ypy-break-up-with-your-girlfriend-im-bored-iv2-53x53.jpg"
"radio-songs","2019","35","Please Me","Cardi B & Bruno Mars","https://charts-static.billboard.com/img/2019/02/cardi-b-n38-53x53.jpg"
"radio-songs","2019","36","Suge","DaBaby","https://charts-static.billboard.com/img/2019/03/dababy-yo9-53x53.jpg"
"radio-songs","2019","37","Be Alright","Dean Lewis","https://charts-static.billboard.com/img/2018/09/dean-lewis-k5z-be-alright-154-53x53.jpg"
"radio-songs","2019","38","Beautiful People","Ed Sheeran Featuring Khalid","https://charts-static.billboard.com/img/2019/07/ed-sheeran-featuring-khalid-000-beautiful-people-qgs-53x53.jpg"
"radio-songs","2019","39","Trampoline","SHAED","https://charts-static.billboard.com/img/2018/12/shaed-ffm-trampoline-3c7-53x53.jpg"
"radio-songs","2019","40","You Need To Calm Down","Taylor Swift","https://charts-static.billboard.com/img/2019/06/taylor-swift-70p-you-need-to-calm-down-47l-53x53.jpg"
"radio-songs","2019","41","Love Lies","Khalid & Normani","https://charts-static.billboard.com/img/2018/03/khalid-p0u-love-lies-7dj-53x53.jpg"
"radio-songs","2019","42","Beautiful Crazy","Luke Combs","https://charts-static.billboard.com/img/2018/05/luke-combs-y14-53x53.jpg"
"radio-songs","2019","43","ZEZE","Kodak Black Featuring Travis Scott & Offset","https://charts-static.billboard.com/img/2018/10/kodak-black-fap-53x53.jpg"
"radio-songs","2019","44","Only Human","Jonas Brothers","https://charts-static.billboard.com/img/2006/08/jonas-brothers-r3d-53x53.jpg"
"radio-songs","2019","45","Drip Too Hard","Lil Baby & Gunna","https://charts-static.billboard.com/img/2018/09/lil-baby-nwx-53x53.jpg"
"radio-songs","2019","46","Whiskey Glasses","Morgan Wallen","https://charts-static.billboard.com/img/2018/09/morgan-wallen-ur7-53x53.jpg"
"radio-songs","2019","47","You Say","Lauren Daigle","https://charts-static.billboard.com/img/2018/07/lauren-daigle-vvo-you-say-xf3-53x53.jpg"
"radio-songs","2019","48","This Is It","Scotty McCreery","https://charts-static.billboard.com/img/2018/03/scotty-mccreery-qgz-53x53.jpg"
"radio-songs","2019","49","Beer Never Broke My Heart","Luke Combs","https://charts-static.billboard.com/img/2019/05/luke-combs-y14-beer-never-broke-my-heart-0f7-53x53.jpg"
"radio-songs","2019","50","Girl Like You","Jason Aldean","https://charts-static.billboard.com/img/2018/04/jason-aldean-jfn-53x53.jpg"
"radio-songs","2019","51","Money","Cardi B","https://charts-static.billboard.com/img/2018/11/cardi-b-n38-53x53.jpg"
"radio-songs","2019","52","Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","https://charts-static.billboard.com/img/2018/10/dj-snake-ncv-53x53.jpg"
"radio-songs","2019","53","Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black","https://charts-static.billboard.com/img/2005/02/gucci-mane-lyh-53x53.jpg"
"radio-songs","2019","54","The Ones That Didn't Make It Back Home","Justin Moore","https://charts-static.billboard.com/img/2018/11/justin-moore-mtw-the-ones-that-didnt-make-it-back-home-wsx-53x53.jpg"
"radio-songs","2019","55","Trip","Ella Mai","https://charts-static.billboard.com/img/2018/08/ella-mai-fle-53x53.jpg"
"radio-songs","2019","56","ME!","Taylor Swift Featuring Brendon Urie","https://charts-static.billboard.com/img/2019/05/taylor-swift-70p-me-ffx-53x53.jpg"
"radio-songs","2019","57","Tequila","Dan + Shay","https://charts-static.billboard.com/img/2018/01/dan-shay-aqf-tequila-6pp-53x53.jpg"
"radio-songs","2019","58","God's Country","Blake Shelton","https://charts-static.billboard.com/img/2019/04/blake-shelton-22w-gods-country-jd3-53x53.jpg"
"radio-songs","2019","59","Money In The Grave","Drake Featuring Rick Ross","https://charts-static.billboard.com/img/2019/06/drake-hq6-money-in-the-grave-7rt-53x53.jpg"
"radio-songs","2019","60","Look Back At It","A Boogie Wit da Hoodie","https://charts-static.billboard.com/img/2018/12/a-boogie-wit-da-hoodie-nk3-look-back-at-it-shz-53x53.jpg"
"radio-songs","2019","61","Good As You","Kane Brown","https://charts-static.billboard.com/img/2018/11/kane-brown-k3k-53x53.jpg"
"radio-songs","2019","62","Circles","Post Malone","https://charts-static.billboard.com/img/2019/09/post-malone-tp6-circles-sb0-53x53.jpg"
"radio-songs","2019","63","Sixteen","Thomas Rhett","https://charts-static.billboard.com/img/2012/02/thomas-rhett-gl5-53x53.jpg"
"radio-songs","2019","64","Love Ain't","Eli Young Band","https://charts-static.billboard.com/img/2018/06/eli-young-band-8g9-love-aint-gr8-53x53.jpg"
"radio-songs","2019","65","A Lot","21 Savage","https://charts-static.billboard.com/img/2019/01/21-savage-4qv-53x53.jpg"
"radio-songs","2019","66","How Do You Sleep?","Sam Smith","https://charts-static.billboard.com/img/2019/07/sam-smith-9q2-how-do-you-sleep-vll-53x53.jpg"
"radio-songs","2019","67","Living","Dierks Bentley","https://charts-static.billboard.com/img/2018/05/dierks-bentley-yjg-53x53.jpg"
"radio-songs","2019","68","Walk Me Home","P!nk","https://charts-static.billboard.com/img/2019/03/pnk-u9h-53x53.jpg"
"radio-songs","2019","69","Beautiful","Bazzi Featuring Camila Cabello","https://charts-static.billboard.com/img/2018/04/bazzi-3p6-53x53.jpg"
"radio-songs","2019","70","Eyes On You","Chase Rice","https://charts-static.billboard.com/img/2018/05/chase-rice-olm-53x53.jpg"
"radio-songs","2019","71","Middle Child","J. Cole","https://charts-static.billboard.com/img/2019/02/j-cole-s1s-middle-child-1z0-53x53.jpg"
"radio-songs","2019","72","Best Shot","Jimmie Allen","https://charts-static.billboard.com/img/2018/02/jimmie-allen-5y0-best-shot-gdr-53x53.jpg"
"radio-songs","2019","73","Knockin' Boots","Luke Bryan","https://charts-static.billboard.com/img/2019/04/luke-bryan-qhx-knockin-boots-28u-53x53.jpg"
"radio-songs","2019","74","Some Of It","Eric Church","https://charts-static.billboard.com/img/2019/01/eric-church-3cj-53x53.jpg"
"radio-songs","2019","75","My Type","Saweetie","https://charts-static.billboard.com/img/2019/06/saweetie-g0q-53x53.jpg"
"radio-songs-labels","2015","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","2","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","3","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","4","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","5","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","6","","ROADRUNNER RECORDS PROMOTIONS","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","7","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","8","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","9","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2015","10","","Warner Bros.","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2016","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","2","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","3","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","4","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","5","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","6","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","7","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","8","","ROADRUNNER RECORDS PROMOTIONS","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","9","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2016","10","","Roc Nation","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"radio-songs-labels","2017","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","3","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","4","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","5","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","6","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","7","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","8","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","9","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2017","10","","Warner Music Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2018","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","2","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","3","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","4","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","5","","Warner Bros.","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","6","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","7","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","8","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","9","","Big Machine Label Group","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2018","10","","RCA Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"radio-songs-labels","2019","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","2","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","3","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","4","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","5","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","6","","Elektra Music Group","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","7","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","8","","Warner","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","9","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"radio-songs-labels","2019","10","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"digital-songs-artists","2006","1","","The Fray","https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg"
"digital-songs-artists","2006","2","","The All-American Rejects","https://charts-static.billboard.com/img/2006/12/the-all-american-rejects-yky-53x53.jpg"
"digital-songs-artists","2006","3","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"digital-songs-artists","2006","4","","Sean Paul","https://charts-static.billboard.com/img/2006/12/sean-paul-uyx-53x53.jpg"
"digital-songs-artists","2006","5","","The Pussycat Dolls","https://charts-static.billboard.com/img/1840/12/the-pussycat-dolls-gqc-53x53.jpg"
"digital-songs-artists","2006","6","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"digital-songs-artists","2006","7","","Daniel Powter","https://charts-static.billboard.com/img/2006/12/daniel-powter-x2o-53x53.jpg"
"digital-songs-artists","2006","8","","Rascal Flatts","https://charts-static.billboard.com/img/2017/06/rascal-flatts-53x53.jpg"
"digital-songs-artists","2006","9","","James Blunt","https://charts-static.billboard.com/img/2006/12/james-blunt-nim-53x53.jpg"
"digital-songs-artists","2006","10","","The Black Eyed Peas","https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg"
"digital-songs-artists","2006","11","","Justin Timberlake","https://charts-static.billboard.com/img/2006/12/justin-timberlake-bcj-artist-chart-3lf-53x53.jpg"
"digital-songs-artists","2006","12","","Fall Out Boy","https://charts-static.billboard.com/img/2006/12/fall-out-boy-zhw-53x53.jpg"
"digital-songs-artists","2006","13","","Natasha Bedingfield","https://charts-static.billboard.com/img/2006/12/natasha-bedingfield-z7w-53x53.jpg"
"digital-songs-artists","2006","14","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"digital-songs-artists","2006","15","","Kelly Clarkson","https://charts-static.billboard.com/img/2006/12/kelly-clarkson-tcv-artist-chart-0a3-53x53.jpg"
"digital-songs-artists","2006","16","","Gnarls Barkley","https://charts-static.billboard.com/img/2006/12/gnarls-barkley-bom-53x53.jpg"
"digital-songs-artists","2006","17","","Chris Brown","https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg"
"digital-songs-artists","2006","18","","Nelly Furtado","https://charts-static.billboard.com/img/2017/04/nelly-furtado-53x53.jpg"
"digital-songs-artists","2006","19","","Red Hot Chili Peppers","https://charts-static.billboard.com/img/2006/12/red-hot-chili-peppers-c0t-53x53.jpg"
"digital-songs-artists","2006","20","","Eminem","https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg"
"digital-songs-artists","2006","21","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"digital-songs-artists","2006","22","","Chamillionaire","https://charts-static.billboard.com/img/2006/12/chamillionaire-brc-53x53.jpg"
"digital-songs-artists","2006","23","","Panic! At The Disco","https://charts-static.billboard.com/img/2006/12/panic-at-the-disco-yl6-53x53.jpg"
"digital-songs-artists","2006","24","","Christina Aguilera","https://charts-static.billboard.com/img/1840/12/christina-aguilera-2gr-53x53.jpg"
"digital-songs-artists","2006","25","","Shakira","https://charts-static.billboard.com/img/2017/06/shakira-53x53.jpg"
"digital-songs-artists","2007","1","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"digital-songs-artists","2007","2","","Akon","https://charts-static.billboard.com/img/2006/12/akon-5il-53x53.jpg"
"digital-songs-artists","2007","3","","Justin Timberlake","https://charts-static.billboard.com/img/2006/12/justin-timberlake-bcj-artist-chart-3lf-53x53.jpg"
"digital-songs-artists","2007","4","","Avril Lavigne","https://charts-static.billboard.com/img/1840/12/avril-lavigne-tgt-53x53.jpg"
"digital-songs-artists","2007","5","","Timbaland","https://charts-static.billboard.com/img/2006/12/timbaland-3i9-53x53.jpg"
"digital-songs-artists","2007","6","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"digital-songs-artists","2007","7","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"digital-songs-artists","2007","8","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"digital-songs-artists","2007","9","","Daughtry","https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg"
"digital-songs-artists","2007","10","","Nelly Furtado","https://charts-static.billboard.com/img/2017/04/nelly-furtado-53x53.jpg"
"digital-songs-artists","2007","11","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"digital-songs-artists","2007","12","","Fall Out Boy","https://charts-static.billboard.com/img/2006/12/fall-out-boy-zhw-53x53.jpg"
"digital-songs-artists","2007","13","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"digital-songs-artists","2007","14","","Gwen Stefani","https://charts-static.billboard.com/img/2006/12/gwen-stefani-72d-53x53.jpg"
"digital-songs-artists","2007","15","","Maroon 5","https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg"
"digital-songs-artists","2007","16","","Soulja Boy Tell'em","https://charts-static.billboard.com/img/2007/12/soulja-boy-4vz-53x53.jpg"
"digital-songs-artists","2007","17","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"digital-songs-artists","2007","18","","Plain White T's","https://charts-static.billboard.com/img/2007/12/plain-white-ts-8xj-53x53.jpg"
"digital-songs-artists","2007","19","","Sean Kingston","https://charts-static.billboard.com/img/2007/12/sean-kingston-qzx-53x53.jpg"
"digital-songs-artists","2007","20","","Shop Boyz","https://charts-static.billboard.com/img/2007/12/shop-boyz-8yf-53x53.jpg"
"digital-songs-artists","2007","21","","Mims","https://charts-static.billboard.com/img/2007/12/mims-wnl-53x53.jpg"
"digital-songs-artists","2007","22","","Unk","https://charts-static.billboard.com/img/2007/12/unk-q7p-53x53.jpg"
"digital-songs-artists","2007","23","","Linkin Park","https://charts-static.billboard.com/img/2017/08/linkin-park-53x53.jpg"
"digital-songs-artists","2007","24","","The Fray","https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg"
"digital-songs-artists","2007","25","","P!nk","https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg"
"digital-songs-artists","2008","1","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"digital-songs-artists","2008","2","","Chris Brown","https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg"
"digital-songs-artists","2008","3","","Lil Wayne","https://charts-static.billboard.com/img/2017/08/lil-wayne-53x53.jpg"
"digital-songs-artists","2008","4","","Taylor Swift","https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg"
"digital-songs-artists","2008","5","","Katy Perry","https://charts-static.billboard.com/img/2008/12/katy-perry-l8p-53x53.jpg"
"digital-songs-artists","2008","6","","Flo Rida","https://charts-static.billboard.com/img/2008/12/flo-rida-8v1-53x53.jpg"
"digital-songs-artists","2008","7","","Leona Lewis","https://charts-static.billboard.com/img/2008/12/leona-lewis-8c8-53x53.jpg"
"digital-songs-artists","2008","8","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"digital-songs-artists","2008","9","","T.I.","https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg"
"digital-songs-artists","2008","10","","Jordin Sparks","https://charts-static.billboard.com/img/2008/12/jordin-sparks-v2k-53x53.jpg"
"digital-songs-artists","2008","11","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"digital-songs-artists","2008","12","","Jonas Brothers","https://charts-static.billboard.com/img/2007/12/jonas-brothers-r3d-artist-chart-i1c-53x53.jpg"
"digital-songs-artists","2008","13","","Miley Cyrus","https://charts-static.billboard.com/img/2017/06/miley-cyrus-53x53.jpg"
"digital-songs-artists","2008","14","","Coldplay","https://charts-static.billboard.com/img/2017/08/coldplay-53x53.jpg"
"digital-songs-artists","2008","15","","Natasha Bedingfield","https://charts-static.billboard.com/img/2006/12/natasha-bedingfield-z7w-53x53.jpg"
"digital-songs-artists","2008","16","","Britney Spears","https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg"
"digital-songs-artists","2008","17","","Sara Bareilles","https://charts-static.billboard.com/img/1840/12/sara-bareilles-7da-53x53.jpg"
"digital-songs-artists","2008","18","","Colbie Caillat","https://charts-static.billboard.com/img/1840/12/colbie-caillat-p3m-53x53.jpg"
"digital-songs-artists","2008","19","","Timbaland","https://charts-static.billboard.com/img/2006/12/timbaland-3i9-53x53.jpg"
"digital-songs-artists","2008","20","","Alicia Keys","https://charts-static.billboard.com/img/2006/12/alicia-keys-xkr-53x53.jpg"
"digital-songs-artists","2008","21","","OneRepublic","https://charts-static.billboard.com/img/2017/08/onerepublic-53x53.jpg"
"digital-songs-artists","2008","22","","P!nk","https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg"
"digital-songs-artists","2008","23","","Ne-Yo","https://charts-static.billboard.com/img/2006/12/ne-yo-kuu-artist-chart-q47-53x53.jpg"
"digital-songs-artists","2008","24","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
