"chart","year","rank","title","artist","image"
"top-artists","2008","5","","Taylor Swift","https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg"
"top-artists","2008","6","","Leona Lewis","https://charts-static.billboard.com/img/2008/12/leona-lewis-8c8-53x53.jpg"
"top-artists","2008","7","","Miley Cyrus","https://charts-static.billboard.com/img/2017/06/miley-cyrus-53x53.jpg"
"top-artists","2008","8","","Jordin Sparks","https://charts-static.billboard.com/img/2008/12/jordin-sparks-v2k-53x53.jpg"
"top-artists","2008","9","","Jonas Brothers","https://charts-static.billboard.com/img/2007/12/jonas-brothers-r3d-artist-chart-i1c-53x53.jpg"
"top-artists","2008","10","","T.I.","https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg"
"top-artists","2008","11","","Coldplay","https://charts-static.billboard.com/img/2017/08/coldplay-53x53.jpg"
"top-artists","2008","12","","Flo Rida","https://charts-static.billboard.com/img/2008/12/flo-rida-8v1-53x53.jpg"
"top-artists","2008","13","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2008","14","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"top-artists","2008","15","","Josh Groban","https://charts-static.billboard.com/img/2017/04/josh-groban-53x53.jpg"
"top-artists","2008","16","","Colbie Caillat","https://charts-static.billboard.com/img/1840/12/colbie-caillat-p3m-53x53.jpg"
"top-artists","2008","17","","Ne-Yo","https://charts-static.billboard.com/img/2006/12/ne-yo-kuu-artist-chart-q47-53x53.jpg"
"top-artists","2008","18","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"top-artists","2008","19","","Katy Perry","https://charts-static.billboard.com/img/2008/12/katy-perry-l8p-53x53.jpg"
"top-artists","2008","20","","Mariah Carey","https://charts-static.billboard.com/img/1990/12/mariah-carey-tgq-53x53.jpg"
"top-artists","2008","21","","Sugarland","https://charts-static.billboard.com/img/1840/12/sugarland-nql-53x53.jpg"
"top-artists","2008","22","","Usher","https://charts-static.billboard.com/img/2004/12/usher-oqp-53x53.jpg"
"top-artists","2008","23","","Sara Bareilles","https://charts-static.billboard.com/img/1840/12/sara-bareilles-7da-53x53.jpg"
"top-artists","2008","24","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"top-artists","2008","25","","OneRepublic","https://charts-static.billboard.com/img/2017/08/onerepublic-53x53.jpg"
"top-artists","2008","26","","Natasha Bedingfield","https://charts-static.billboard.com/img/2006/12/natasha-bedingfield-z7w-53x53.jpg"
"top-artists","2008","27","","Timbaland","https://charts-static.billboard.com/img/2006/12/timbaland-3i9-53x53.jpg"
"top-artists","2008","28","","Kid Rock","https://charts-static.billboard.com/img/2017/08/kid-rock-53x53.jpg"
"top-artists","2008","29","","Keyshia Cole","https://charts-static.billboard.com/img/2017/03/keyshia-cole-53x53.jpg"
"top-artists","2008","30","","Britney Spears","https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg"
"top-artists","2008","31","","P!nk","https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg"
"top-artists","2008","32","","Mary J. Blige","https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg"
